Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
422,11:06:34,0:18:50,473576,236,40.44,2170,31.75
423,11:06:34,0:18:51,473601,271,46.93,2176,31.43
424,11:06:36,0:18:52,475595,147,26.19,2182,32.07
425,11:06:36,0:18:52,475782,163,28.20,2187,31.21
426,11:06:37,0:18:53,475952,79,20.03,2192,31.21
427,11:06:37,0:18:53,476085,112,22.94,2197,32.07
428,11:06:37,0:18:53,476405,216,36.85,2202,31.64
429,11:06:38,0:18:54,476702,124,23.92,2207,31.21
430,11:06:38,0:18:54,477627,240,41.21,2213,31.86
431,11:06:38,0:18:55,477760,249,42.85,2219,31.75
432,11:06:39,0:18:55,478205,56,16.76,2225,31.64
433,11:06:40,0:18:56,479060,344,64.67,2230,31.75
434,11:06:40,0:18:56,479515,172,29.49,2235,31.43
435,11:06:42,0:18:58,481490,252,43.42,2240,31.96
436,11:06:42,0:18:59,481519,78,19.92,2246,31.43
437,11:06:43,0:18:59,482212,480,130.21,2251,32.07
438,11:06:46,0:19:2,485095,49,15.48,2257,31.43
439,11:06:46,0:19:2,485207,124,23.92,2262,31.21
440,11:06:46,0:19:3,485725,211,35.96,2268,31.43
441,11:06:46,0:19:3,486287,79,20.03,2273,31.64
442,11:06:48,0:19:5,487969,60,17.43,2278,32.07
443,11:06:49,0:19:6,488986,263,45.37,2284,31.21
444,11:06:50,0:19:6,489373,615,227.36,2290,32.07
445,11:06:51,0:19:7,490089,96,21.67,2295,31.96
446,11:06:51,0:19:8,490898,417,95.20,2300,31.75
447,11:06:53,0:19:9,492306,359,69.86,2305,32.07
448,11:06:53,0:19:9,492682,390,82.70,2310,31.75
449,11:06:53,0:19:9,493076,99,21.91,2315,31.43
450,11:06:54,0:19:10,493615,156,27.28,2320,31.21
451,11:06:55,0:19:11,494557,131,24.54,2325,31.21
452,11:06:55,0:19:11,494675,339,62.98,2331,32.07
453,11:06:56,0:19:12,494724,87,20.86,2336,31.21
454,11:06:56,0:19:13,496004,280,48.67,2341,31.75
455,11:06:58,0:19:14,497050,384,80.08,2347,31.43
456,11:06:58,0:19:14,497638,348,65.64,2352,31.43
457,11:06:59,0:19:15,498907,63,17.91,2357,32.07
458,11:07:00,0:19:16,498964,174,29.79,2363,31.43
459,11:07:00,0:19:16,499578,71,19.06,2368,32.18
460,11:07:01,0:19:17,500729,359,69.86,2373,31.43
461,11:07:02,0:19:18,501382,140,25.42,2378,31.96
462,11:07:02,0:19:18,501424,248,42.69,2384,31.43
463,11:07:02,0:19:18,501459,60,17.43,2390,31.43
464,11:07:03,0:19:19,502790,163,28.20,2396,31.21
