,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
128,11:21:14,0:33:30,"(-9.56148375, -0.53544309, 0.038245935)","(43.65, 12.15, 42.0)"
129,11:21:24,0:33:41,"(-9.599729685, -0.53544309, 0.0)","(43.199999999999996, 11.4, 42.15)"
130,11:21:35,0:33:51,"(-9.599729685, -0.53544309, 0.038245935)","(44.1, 11.549999999999999, 41.25)"
131,11:21:45,0:34:2,"(-9.56148375, -0.573689025, 0.038245935)","(43.05, 11.25, 41.55)"
132,11:21:56,0:34:12,"(-9.637975619999999, -0.53544309, 0.0)","(43.8, 12.15, 41.55)"
133,11:22:07,0:34:23,"(-9.599729685, -0.53544309, 0.07649187)","(43.5, 11.4, 41.55)"
134,11:22:19,0:34:35,"(-9.637975619999999, -0.49719715499999995, 0.114737805)","(43.65, 11.85, 41.4)"
135,11:22:30,0:34:46,"(-9.56148375, -0.650180895, -0.07649187)","(43.199999999999996, 12.0, 42.0)"
136,11:22:40,0:34:56,"(-9.523237815, -0.573689025, 0.0)","(44.1, 11.549999999999999, 42.6)"
137,11:22:51,0:35:7,"(-9.637975619999999, -0.573689025, 0.07649187)","(44.55, 12.299999999999999, 42.9)"
138,11:23:01,0:35:17,"(-9.523237815, -0.53544309, 0.038245935)","(44.25, 11.4, 41.4)"
139,11:23:12,0:35:28,"(-9.56148375, -0.61193496, 0.038245935)","(44.699999999999996, 11.1, 42.15)"
140,11:23:22,0:35:38,"(-9.56148375, -0.53544309, 0.038245935)","(43.8, 11.25, 42.15)"
141,11:23:33,0:35:49,"(-9.71446749, -0.573689025, 0.038245935)","(43.8, 11.549999999999999, 41.1)"
142,11:23:43,0:36:0,"(-9.56148375, -0.49719715499999995, 0.0)","(44.1, 11.7, 41.85)"
143,11:23:54,0:36:10,"(-9.599729685, -0.573689025, 0.038245935)","(44.25, 12.299999999999999, 42.6)"
144,11:24:05,0:36:21,"(-9.523237815, -0.53544309, 0.07649187)","(44.1, 11.7, 41.699999999999996)"
145,11:24:15,0:36:31,"(-9.676221555, -0.573689025, 0.0)","(44.85, 11.85, 41.85)"
146,11:24:26,0:36:42,"(-9.599729685, -0.53544309, 0.0)","(43.8, 12.15, 42.6)"
147,11:24:36,0:36:53,"(-9.56148375, -0.61193496, 0.07649187)","(45.0, 12.0, 42.3)"
148,11:24:47,0:37:3,"(-9.637975619999999, -0.573689025, 0.0)","(44.55, 11.549999999999999, 42.449999999999996)"
149,11:24:57,0:37:14,"(-9.599729685, -0.53544309, 0.038245935)","(43.199999999999996, 12.45, 41.55)"
150,11:25:08,0:37:24,"(-9.523237815, -0.49719715499999995, 0.038245935)","(43.5, 11.85, 41.699999999999996)"
151,11:25:19,0:37:35,"(-9.599729685, -0.573689025, 0.07649187)","(43.949999999999996, 11.1, 42.3)"
152,11:25:30,0:37:46,"(-9.71446749, -0.573689025, 0.07649187)","(44.699999999999996, 12.0, 42.6)"
153,11:25:40,0:37:56,"(-9.56148375, -0.650180895, -0.07649187)","(43.8, 11.4, 42.6)"
154,11:25:50,0:38:7,"(-9.56148375, -0.61193496, 0.07649187)","(44.4, 11.25, 41.55)"
